numero,file_url,file_txt
232,http://contratos.gastosabertos.org/files/contrato-232.pdf,
233,http://contratos.gastosabertos.org/files/contrato-233.zip,
234,http://contratos.gastosabertos.org/files/contrato-234.doc,http://contratos.gastosabertos.org/files/contrato-234.txt
235,http://contratos.gastosabertos.org/files/contrato-235.pdf,
236,http://contratos.gastosabertos.org/files/contrato-236.doc,http://contratos.gastosabertos.org/files/contrato-236.txt
237,http://contratos.gastosabertos.org/files/contrato-237.zip,
238,http://contratos.gastosabertos.org/files/contrato-238.doc,http://contratos.gastosabertos.org/files/contrato-238.txt
239,http://contratos.gastosabertos.org/files/contrato-239.doc,http://contratos.gastosabertos.org/files/contrato-239.txt
240,http://contratos.gastosabertos.org/files/contrato-240.doc,http://contratos.gastosabertos.org/files/contrato-240.txt
241,http://contratos.gastosabertos.org/files/contrato-241.doc,http://contratos.gastosabertos.org/files/contrato-241.txt
242,http://contratos.gastosabertos.org/files/contrato-242.doc,http://contratos.gastosabertos.org/files/contrato-242.txt
243,http://contratos.gastosabertos.org/files/contrato-243.doc,http://contratos.gastosabertos.org/files/contrato-243.txt
244,http://contratos.gastosabertos.org/files/contrato-244.docx,http://contratos.gastosabertos.org/files/contrato-244.txt
245,http://contratos.gastosabertos.org/files/contrato-245.doc,http://contratos.gastosabertos.org/files/contrato-245.txt
246,http://contratos.gastosabertos.org/files/contrato-246.doc,http://contratos.gastosabertos.org/files/contrato-246.txt
247,http://contratos.gastosabertos.org/files/contrato-247.doc,http://contratos.gastosabertos.org/files/contrato-247.txt
248,http://contratos.gastosabertos.org/files/contrato-248.doc,http://contratos.gastosabertos.org/files/contrato-248.txt
249,http://contratos.gastosabertos.org/files/contrato-249.doc,http://contratos.gastosabertos.org/files/contrato-249.txt
250,http://contratos.gastosabertos.org/files/contrato-250.doc,http://contratos.gastosabertos.org/files/contrato-250.txt
251,http://contratos.gastosabertos.org/files/contrato-251.pdf,http://contratos.gastosabertos.org/files/contrato-251.txt
252,http://contratos.gastosabertos.org/files/contrato-252.pdf,
253,http://contratos.gastosabertos.org/files/contrato-253.pdf,http://contratos.gastosabertos.org/files/contrato-253.txt
254,http://contratos.gastosabertos.org/files/contrato-254.docx,http://contratos.gastosabertos.org/files/contrato-254.txt
255,http://contratos.gastosabertos.org/files/contrato-255.doc,http://contratos.gastosabertos.org/files/contrato-255.txt
256,http://contratos.gastosabertos.org/files/contrato-256.doc,http://contratos.gastosabertos.org/files/contrato-256.txt
257,http://contratos.gastosabertos.org/files/contrato-257.pdf,
258,http://contratos.gastosabertos.org/files/contrato-258.pdf,
259,http://contratos.gastosabertos.org/files/contrato-259.doc,http://contratos.gastosabertos.org/files/contrato-259.txt
260,http://contratos.gastosabertos.org/files/contrato-260.pdf,
261,http://contratos.gastosabertos.org/files/contrato-261.doc,http://contratos.gastosabertos.org/files/contrato-261.txt
262,http://contratos.gastosabertos.org/files/contrato-262.doc,http://contratos.gastosabertos.org/files/contrato-262.txt
263,http://contratos.gastosabertos.org/files/contrato-263.doc,http://contratos.gastosabertos.org/files/contrato-263.txt
264,http://contratos.gastosabertos.org/files/contrato-264.doc,http://contratos.gastosabertos.org/files/contrato-264.txt
265,http://contratos.gastosabertos.org/files/contrato-265.doc,http://contratos.gastosabertos.org/files/contrato-265.txt
266,http://contratos.gastosabertos.org/files/contrato-266.doc,http://contratos.gastosabertos.org/files/contrato-266.txt
267,http://contratos.gastosabertos.org/files/contrato-267.doc,http://contratos.gastosabertos.org/files/contrato-267.txt
268,http://contratos.gastosabertos.org/files/contrato-268.pdf,
269,http://contratos.gastosabertos.org/files/contrato-269.doc,http://contratos.gastosabertos.org/files/contrato-269.txt
270,http://contratos.gastosabertos.org/files/contrato-270.doc,http://contratos.gastosabertos.org/files/contrato-270.txt
271,http://contratos.gastosabertos.org/files/contrato-271.doc,http://contratos.gastosabertos.org/files/contrato-271.txt
272,http://contratos.gastosabertos.org/files/contrato-272.doc,http://contratos.gastosabertos.org/files/contrato-272.txt
273,http://contratos.gastosabertos.org/files/contrato-273.doc,http://contratos.gastosabertos.org/files/contrato-273.txt
274,http://contratos.gastosabertos.org/files/contrato-274.pdf,http://contratos.gastosabertos.org/files/contrato-274.txt
